Title,Authors,Book_cover,Year,Price($),Reviews,Ratings
The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,Hardcover,2010,14.39,5748,4.8
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Paperback,2010,14.99,8357,4.4
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,Paperback,2010,10.59,5203,4.6
The Belly Fat Cure: Discover the New Carb Swap System™ and Lose 4 to 9 lbs. Every Week,Jorge Cruise,Spiral-bound,2010,22.65,1120,4.1
"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",Rick Riordan,Paperback,2010,7.99,28715,4.8
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,Hardcover,2010,13.79,25783,4.5
"Full Dark, No Stars",Stephen King,Hardcover,2010,21.5,6254,4.6
Sizzling Sixteen (Stephanie Plum Novels),Janet Evanovich,Hardcover,2010,1.25,7454,4.5
The Grand Design,Stephen Hawking,Hardcover,2010,16.23,4121,4.5
The Overton Window ,Glenn Beck,Hardcover,2010,15.52,1431,4.6
"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,Hardcover,2010,8.89,43000,4.9
Spoken from the Heart,Laura Bush,Hardcover,2010,12.12,836,4.5
Diary of a Wimpy Kid Do-it-yourself Book,Jeff Kinney,Hardcover,2010,14.72,10193,4.8
The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,Mark Nepo,Paperback,2010,17.81,4473,4.7
"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Julia Child,Hardcover,2010,25.99,8220,4.8
Safe Haven,Nicholas Sparks,Hardcover,2010,13.99,15269,4.6
"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",Daniel G. Amen,Hardcover,2010,14.57,947,4.4
"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet",Alicia Silverstone,Hardcover,2010,2.6,1690,4.5
Decoded,Jay-Z,Hardcover,2010,33.57,1793,4.7
The Glass Castle: A Memoir (book),Jeannette Walls,Paperback,2010,9.68,39274,4.6
The Shack: Where Tragedy Confronts Eternity,William P. Young,Paperback,2010,10.14,41127,4.6
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,Hardcover,2010,19.55,25420,4.7
Sookie Stackhouse 8-copy Boxed Set (Sookie Stackhouse / Southern Vampire),Charlaine Harris,Mass Market Paperback,2010,72.96,1630,4.7
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,Paperback,2010,10.32,37104,4.6
Hotel on the Corner of Bitter and Sweet,Jamie Ford,Paperback,2010,11.99,14007,4.5
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,Hardcover,2010,27.0,8290,4.4
Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,Paperback,2010,20.99,792,4.5
"Happy Ever After (Bride Quartet, Book 4)",Nora Roberts,Paperback,2010,13.12,3717,4.7
A Guide to the Project Management Body of Knowledge,Project Management Institute,Paperback,2010,13.0,755,4.4
The Book Thief,Markus Zusak,Paperback,2010,7.83,67255,4.6
The Catcher in the Rye,J. D. Salinger,Paperback,2010,12.78,37751,4.4
"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",Thomas Campbell,Paperback,2010,21.22,6462.0,4.7
American Assassin: A Thriller (A Mitch Rapp Novel),Vince Flynn,Hardcover,2010,26.76,18380,4.5
Rework,Jason Fried,Hardcover,2010,12.49,10348,4.5
In Defense of Food: An Eater's Manifesto,Michael Pollan,Paperback,2010,15.99,4023,4.6
Squirrel Seeks Chipmunk: A Modest Bestiary,David Sedaris,Hardcover,2010,18.49,1191,4.2
Who Moved My Cheese,Spencer Johnson,Hardcover,2010,12.99,24699,4.6
Steve Jobs,Walter Isaacson,Hardcover,2011,18.29,23435,4.7
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,Paperback,2011,10.49,24987,4.6
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,Hardcover,2011,0.52,20980,4.7
StrengthsFinder 2.0,Gallup,Hardcover,2011,20.96,8178.0,4.1
The Hunger Games (Book 1),Suzanne Collins,Paperback,2011,7.19,80772,4.7
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Hardcover,2011,15.68,75429,4.7
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,Hardcover,2011,15.72,17194,4.7
Go the F**k to Sleep,Adam Mansbach,Hardcover,2011,13.45,22511,4.8
Mockingjay (The Hunger Games),Suzanne Collins,Hardcover,2011,11.44,79841,4.6
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,Mass Market Paperback,2011,8.5,8392,4.7
Catching Fire (The Hunger Games),Suzanne Collins,Hardcover,2011,11.41,64876,4.7
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,Hardcover,2011,15.81,3215.0,4.3
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,Hardcover,2011,19.0,47708,4.6
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,Hardcover,2011,11.39,25807,4.8
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,Hardcover,2011,13.6,15072,4.6
